Nome da conta;Número da conta;Nome do veículo;Número do veículo;Total de dias da operação;Data inicial da operação;Data final da operação;Total de dias;Distância percorrida;Por dia;Hodômetro inicial;Hodômetro final;Velocidade máxima;Velocidade média;Velocidade média em movimento;Litros consumidos;Consumo médio do veículo;Movimento;Faixa verde;Marcha lenta excessiva;Ignição ligada;Percentual de tempo de condução sem chuva;Percentual de tempo de condução na chuva;Condução sem chuva;Condução na chuva;Movimento médio diário;Quantidade de violações - Aceleração brusca;Quantidade de violações - Banguela;Quantidade de violações - Freadas bruscas;Quantidade de violações - Marcha lenta excessiva;Quantidade de violações - Partida a frio;Quantidade de violações - Violação de faixa verde;Quantidade de violações - Violação de RPM;Quantidade de violações - Violação de velocidade;Quantidade de violações - Violação de velocidade na chuva;Tempo total - Aceleração brusca;Tempo total - Banguela;Tempo total - Freadas bruscas;Tempo total - Marcha lenta excessiva;Tempo total - Partida a frio;Tempo total - Violação de faixa verde;Tempo total - Violação de RPM;Tempo total - Violação de velocidade;Tempo total - Violação de velocidade na chuva;
Prime;268497701;1364 - QIN6149;272383;27;06/05/2025;03/06/2025;31;9.948,30;368,46;763.988,10;773.936,40;94,00;39,90;47,40;4.404,00;2,26;209:51:59;208:31:17;13:26:55;249:20:59;100,00;0,00;209:51:59;00:00:00;07:46:22;2;0;0;73;5;185;0;0;0;00:00:04;00:00:00;00:00:00;13:26:55;00:01:18;01:20:42;00:00:00;00:00:00;00:00:00;
Prime;268497701;1378 - QIY2809;277996;31;04/05/2025;03/06/2025;31;7.412,40;239,11;882.583,50;889.995,90;92,00;31,41;60,13;2.890,00;2,56;123:16:26;123:15:16;14:09:20;235:59:45;100,00;0,00;123:16:26;00:00:00;03:58:36;3;0;2;89;38;3;1;0;0;00:00:06;00:00:00;00:00:04;14:09:20;00:11:51;00:01:10;00:00:20;00:00:00;00:00:00;
Prime;268497701;1386 - QIY3869 VENDIDO;278342;0;-;-;31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;00:00:00;00:00:00;00:00:00;00:00:00;100,00;0,00;00:00:00;00:00:00;00:00:00;0;0;0;0;0;0;0;0;0;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;
Prime;268497701;1388 - QIO7920;271761;31;04/05/2025;03/06/2025;31;6.682,60;215,57;753.115,40;759.798,00;91,00;46,62;56,29;2.608,00;2,56;118:43:04;118:30:57;04:29:41;143:20:56;100,00;0,00;118:43:04;00:00:00;03:49:47;3;0;0;33;5;27;0;0;0;00:00:06;00:00:00;00:00:00;04:29:41;00:02:03;00:12:07;00:00:00;00:00:00;00:00:00;
Prime;268497701;1394 - QIO7650;366537;26;04/05/2025;03/06/2025;31;5.869,50;225,75;731.593,20;737.462,70;92,00;47,27;61,10;2.515,50;2,33;96:03:47;95:09:04;07:52:54;124:10:52;100,00;0,00;96:03:47;00:00:00;03:41:41;4;0;0;51;19;122;3;0;0;00:00:08;00:00:00;00:00:00;07:52:54;00:04:38;00:54:43;00:00:43;00:00:00;00:00:00;
Prime;268497701;1396 - QIO6840;277763;29;04/05/2025;03/06/2025;31;8.520,30;293,80;779.673,10;788.193,40;98,00;54,58;69,36;3.294,50;2,59;122:50:02;116:21:38;11:11:59;156:05:47;100,00;0,00;122:50:02;00:00:00;04:14:08;22;0;3;72;24;771;0;7;0;00:00:46;00:00:00;00:00:07;11:11:59;00:06:28;06:28:24;00:00:00;00:02:22;00:00:00;
Prime;268497701;1400 - QIO6380;278647;30;04/05/2025;03/06/2025;31;9.547,00;318,23;788.042,00;797.589,00;92,00;51,48;58,81;3.721,50;2,57;162:19:59;161:57:29;03:51:03;185:26:13;100,00;0,00;162:19:59;00:00:00;05:24:40;1;0;1;33;28;56;0;0;0;00:00:02;00:00:00;00:00:02;03:51:03;00:07:46;00:22:30;00:00:00;00:00:00;00:00:00;
Prime;268497701;1404 - QIO7240;277175;30;04/05/2025;03/06/2025;31;6.816,20;227,21;858.768,50;865.584,70;102,00;51,24;63,48;2.914,00;2,34;107:22:11;104:59:17;10:10:17;133:01:13;100,00;0,00;107:22:11;00:00:00;03:34:44;1;0;1;64;8;324;0;13;0;00:00:02;00:00:00;00:00:03;10:10:17;00:03:20;02:22:54;00:00:00;00:04:11;00:00:00;
Prime;268497701;1406 - QIO7420;278387;31;04/05/2025;03/06/2025;31;4.925,70;158,89;765.628,00;770.553,70;92,00;43,88;63,03;2.058,00;2,39;78:08:34;77:08:39;03:42:05;112:15:19;100,00;0,00;78:08:34;00:00:00;02:31:15;0;0;1;25;31;119;1;0;0;00:00:00;00:00:00;00:00:02;03:42:05;00:08:12;00:59:55;00:00:12;00:00:00;00:00:00;
Prime;268497701;1424 - QJA2282;278377;25;06/05/2025;03/06/2025;31;3.821,20;152,85;705.861,70;709.682,90;94,00;37,95;60,32;1.695,50;2,25;63:20:42;62:52:07;07:43:09;100:40:42;100,00;0,00;63:20:42;00:00:00;02:32:02;1;0;0;46;8;69;0;0;0;00:00:02;00:00:00;00:00:00;07:43:09;00:02:12;00:28:35;00:00:00;00:00:00;00:00:00;
Prime;268497701;1426 - QJA2262;261393;29;04/05/2025;03/06/2025;31;7.359,60;253,78;746.905,70;754.265,30;91,00;23,00;40,87;2.647,50;2,78;180:04:10;180:01:06;08:16:07;319:55:41;100,00;0,00;180:04:10;00:00:00;06:12:33;0;0;1;56;33;6;0;0;0;00:00:00;00:00:00;00:00:02;08:16:07;00:10:08;00:03:04;00:00:00;00:00:00;00:00:00;
Prime;268497701;1428 - QJA2332;272283;30;04/05/2025;03/06/2025;31;9.433,70;314,46;812.373,10;821.806,80;116,00;55,91;64,20;3.794,00;2,49;146:56:47;144:39:07;01:37:36;168:44:13;100,00;0,00;146:56:47;00:00:00;04:53:54;26;0;4;11;44;319;0;10;0;00:00:56;00:00:00;00:00:08;01:37:36;00:09:44;02:17:40;00:00:00;00:04:29;00:00:00;
Prime;268497701;1430 - QJA2192;367242;27;08/05/2025;03/06/2025;31;9.544,60;353,50;775.799,50;785.344,10;98,00;37,95;62,92;4.077,00;2,34;151:42:19;149:11:45;05:48:54;251:29:18;100,00;0,00;151:42:19;00:00:00;05:37:07;1;0;2;40;28;310;8;0;0;00:00:02;00:00:00;00:00:04;05:48:54;00:06:53;02:30:34;00:01:51;00:00:00;00:00:00;
Prime;268497701;1432 - QJC9452;278355;31;04/05/2025;03/06/2025;31;13.118,30;423,17;728.227,50;741.345,80;92,00;53,49;61,62;5.368,50;2,44;212:53:58;208:51:32;04:47:07;245:13:42;100,00;0,00;212:53:58;00:00:00;06:52:04;3;0;3;37;45;513;0;0;0;00:00:06;00:00:00;00:00:06;04:47:07;00:09:58;04:02:26;00:00:00;00:00:00;00:00:00;
Prime;268497701;1434 - QJC9402;277181;30;04/05/2025;02/06/2025;31;8.394,90;279,83;754.684,60;763.079,50;106,00;43,84;65,17;2.910,00;2,88;128:49:22;125:09:31;33:46:24;191:29:46;100,00;0,00;128:49:22;00:00:00;04:17:39;4;0;0;159;28;428;2;66;0;00:00:08;00:00:00;00:00:00;33:46:24;00:08:23;03:39:51;00:00:22;00:27:26;00:00:00;
Prime;268497701;1436 - QJC9502;363765;30;04/05/2025;02/06/2025;31;8.802,00;293,40;698.189,10;706.991,20;92,00;47,74;59,43;4.061,00;2,17;148:06:59;144:51:21;13:07:33;184:22:51;100,00;0,00;148:06:59;00:00:00;04:56:14;19;0;1;83;3;323;2;0;0;00:00:41;00:00:00;00:00:02;13:07:33;00:00:42;03:15:38;00:00:34;00:00:00;00:00:00;
Prime;268497701;1438 - QJC9552;275291;31;04/05/2025;03/06/2025;31;5.307,60;171,21;815.961,40;821.269,00;96,00;46,86;62,45;2.261,00;2,35;84:59:29;79:42:23;13:32:13;113:15:51;100,00;0,00;84:59:29;00:00:00;02:44:30;3;0;1;74;8;547;2;5;0;00:00:06;00:00:00;00:00:02;13:32:13;00:01:15;05:17:06;00:00:28;00:01:30;00:00:00;
Prime;268497701;1440 - QJC9432;274721;24;04/05/2025;30/05/2025;31;5.857,90;244,08;753.413,40;759.271,30;95,00;52,68;64,90;2.462,50;2,38;90:15:13;90:01:12;05:17:57;111:12:23;100,00;0,00;90:15:13;00:00:00;03:45:38;6;0;3;35;6;35;0;0;0;00:00:12;00:00:00;00:00:06;05:17:57;00:01:34;00:14:01;00:00:00;00:00:00;00:00:00;
Prime;268497701;1442 - QIP7203;275163;30;04/05/2025;02/06/2025;31;8.732,80;291,09;747.763,60;756.496,40;97,00;57,37;68,29;3.587,00;2,43;127:52:49;123:12:56;07:12:09;152:12:39;100,00;0,00;127:52:49;00:00:00;04:15:46;6;0;0;47;19;540;0;3;0;00:00:13;00:00:00;00:00:00;07:12:09;00:05:07;04:39:53;00:00:00;00:00:55;00:00:00;
Prime;268497701;1444 - QIP7153;277010;30;05/05/2025;03/06/2025;31;7.419,50;247,32;718.747,40;726.166,90;98,00;41,71;68,25;2.712,00;2,74;108:42:25;107:20:20;04:31:20;177:53:44;100,00;0,00;108:42:25;00:00:00;03:37:25;10;0;2;38;25;184;0;5;0;00:00:21;00:00:00;00:00:05;04:31:20;00:06:40;01:22:05;00:00:00;00:01:37;00:00:00;
Prime;268497701;1446 - QIP7223;274709;30;04/05/2025;02/06/2025;31;3.980,50;132,68;775.132,50;779.112,90;96,00;26,78;55,08;1.722,00;2,31;72:16:00;71:34:37;19:09:02;148:38:39;100,00;0,00;72:16:00;00:00:00;02:24:32;0;0;2;103;20;98;0;1;0;00:00:00;00:00:00;00:00:04;19:09:02;00:05:23;00:41:23;00:00:00;00:00:21;00:00:00;
Prime;268497701;1448 - QIP7193;261359;21;07/05/2025;03/06/2025;31;4.312,30;205,35;767.324,10;771.636,40;94,00;17,96;22,64;1.783,00;2,42;190:30:09;184:58:43;12:38:38;240:05:32;100,00;0,00;190:30:09;00:00:00;09:04:18;7;0;0;52;12;400;0;3;0;00:00:14;00:00:00;00:00:00;12:38:38;00:03:24;05:31:26;00:00:00;00:01:18;00:00:00;
Prime;268497701;1450 - QIP7123;261483;30;04/05/2025;03/06/2025;31;5.799,40;193,31;775.039,60;780.839,00;95,00;41,17;64,60;2.108,50;2,75;89:46:38;89:32:01;08:17:59;140:52:27;100,00;0,00;89:46:38;00:00:00;02:59:33;0;0;0;59;8;33;0;1;0;00:00:00;00:00:00;00:00:00;08:17:59;00:02:50;00:14:37;00:00:00;00:00:18;00:00:00;
Prime;268497701;1454 - QIR9724;275984;27;05/05/2025;03/06/2025;31;9.700,20;359,27;703.428,90;713.129,00;111,00;46,79;61,94;3.873,00;2,50;156:36:41;154:28:59;08:18:32;207:19:26;100,00;0,00;156:36:41;00:00:00;05:48:02;1;0;0;49;23;295;0;7;0;00:00:02;00:00:00;00:00:00;08:18:32;00:06:37;02:07:42;00:00:00;00:02:37;00:00:00;
Prime;268497701;1456 - QIR9854;275969;31;04/05/2025;03/06/2025;31;4.759,90;153,55;683.614,70;688.374,60;91,00;44,93;64,19;1.642,50;2,90;74:08:58;74:08:58;21:23:35;105:56:19;100,00;0,00;74:08:58;00:00:00;02:23:31;0;0;0;76;14;0;5;0;0;00:00:00;00:00:00;00:00:00;21:23:35;00:03:01;00:00:00;00:04:35;00:00:00;00:00:00;
Prime;268497701;1458 - QIR9814;275277;27;04/05/2025;03/06/2025;31;5.553,60;205,69;762.969,10;768.522,70;91,00;26,34;61,20;2.004,50;2,77;90:44:51;90:43:56;06:17:55;210:52:12;100,00;0,00;90:44:51;00:00:00;03:21:40;0;0;3;48;13;3;0;0;0;00:00:00;00:00:00;00:00:08;06:17:55;00:04:10;00:00:55;00:00:00;00:00:00;00:00:00;
Prime;268497701;1460 - QIR9764;274535;28;04/05/2025;03/06/2025;31;4.192,00;149,71;748.922,70;753.114,60;91,00;41,43;57,20;1.794,00;2,34;73:17:10;72:46:44;10:24:27;101:10:37;100,00;0,00;73:17:10;00:00:00;02:37:02;12;0;2;48;36;57;0;0;0;00:00:25;00:00:00;00:00:05;10:24:27;00:10:11;00:30:26;00:00:00;00:00:00;00:00:00;
Prime;268497701;1462 - QIR9784;277212;30;05/05/2025;03/06/2025;31;5.705,90;190,20;707.898,50;713.604,60;96,00;37,36;61,52;2.392,50;2,38;92:44:35;91:05:33;10:42:59;152:43:02;100,00;0,00;92:44:35;00:00:00;03:05:29;48;0;8;64;21;209;6;0;0;00:01:38;00:00:00;00:00:17;10:42:59;00:07:02;01:39:02;00:01:26;00:00:00;00:00:00;
Prime;268497701;1464 - QIS9534;278390;30;04/05/2025;03/06/2025;31;4.446,00;148,20;770.479,30;774.925,30;94,00;44,53;54,75;1.688,50;2,63;81:11:59;80:37:31;07:37:49;99:50:35;100,00;0,00;81:11:59;00:00:00;02:42:24;33;0;0;47;4;81;2;0;0;00:01:08;00:00:00;00:00:00;07:37:49;00:01:26;00:34:28;00:00:26;00:00:00;00:00:00;
Prime;268497701;1466 - QIS9714;272146;31;04/05/2025;03/06/2025;31;6.028,50;194,47;691.566,30;697.594,40;92,00;47,59;58,24;2.597,00;2,32;103:30:20;102:15:09;07:14:21;126:40:40;100,00;0,00;103:30:20;00:00:00;03:20:20;8;0;0;43;34;169;2;0;0;00:00:16;00:00:00;00:00:00;07:14:21;00:04:46;01:15:11;00:00:40;00:00:00;00:00:00;
Prime;268497701;1468 - QIS9844;272276;22;09/05/2025;30/05/2025;31;6.997,90;318,09;698.903,40;705.901,30;92,00;73,23;96,46;2.744,50;2,55;72:32:47;71:03:32;06:36:47;95:33:49;100,00;0,00;72:32:47;00:00:00;03:17:51;10;0;0;48;15;160;0;1;0;00:00:20;00:00:00;00:00:00;06:36:47;00:03:12;01:29:15;00:00:00;00:00:19;00:00:00;
Prime;268497701;1470 - QIS9824;361670;26;05/05/2025;02/06/2025;31;2.083,10;80,12;702.900,30;704.983,40;86,00;28,40;274,33;975,00;2,14;07:35:36;07:35:36;00:00:00;73:20:19;100,00;0,00;07:35:36;00:00:00;00:17:31;0;0;0;0;2;0;0;0;0;00:00:00;00:00:00;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:00;
Prime;268497701;1472 - QIS9514;272389;31;04/05/2025;03/06/2025;31;8.151,50;262,95;766.967,20;775.120,20;92,00;26,04;61,43;3.355,50;2,43;132:42:23;127:23:35;19:11:09;313:02:45;100,00;0,00;132:42:23;00:00:00;04:16:51;24;0;0;99;27;544;2;0;0;00:00:48;00:00:00;00:00:00;19:11:09;00:07:15;05:18:48;00:00:39;00:00:00;00:00:00;
Prime;268497701;1474 - QJC8085;362696;31;04/05/2025;03/06/2025;31;6.156,20;198,59;676.453,30;682.609,50;91,00;36,97;64,04;2.182,50;2,82;96:08:02;94:52:29;05:51:41;166:31:20;100,00;0,00;96:08:02;00:00:00;03:06:04;1;0;4;30;25;141;0;0;0;00:00:02;00:00:00;00:00:09;05:51:41;00:08:14;01:15:33;00:00:00;00:00:00;00:00:00;
Prime;268497701;1476 - QJC8015;271745;28;05/05/2025;03/06/2025;31;5.261,20;187,90;729.496,20;734.757,40;94,00;28,06;54,24;2.295,00;2,29;96:59:25;95:58:35;09:36:29;187:31:01;100,00;0,00;96:59:25;00:00:00;03:27:50;0;0;4;60;9;130;0;0;0;00:00:00;00:00:00;00:00:08;09:36:29;00:03:02;01:00:50;00:00:00;00:00:00;00:00:00;
Prime;268497701;1478 - QJC8135;276958;26;04/05/2025;03/06/2025;31;5.134,90;197,50;735.921,90;741.056,80;104,00;25,92;40,95;2.055,50;2,50;125:24:15;124:02:26;12:32:59;198:06:12;100,00;0,00;125:24:15;00:00:00;04:49:24;2;0;0;43;19;161;1;28;0;00:00:04;00:00:00;00:00:00;12:32:59;00:04:54;01:21:49;00:00:14;00:14:16;00:00:00;
Prime;268497701;1480 - QJC7985;274927;31;04/05/2025;03/06/2025;31;10.196,00;328,90;707.852,90;718.186,90;98,00;51,18;66,54;4.267,50;2,39;153:14:21;149:06:31;06:20:22;199:13:28;100,00;0,00;153:14:21;00:00:00;04:56:36;17;0;5;45;19;515;9;13;0;00:00:34;00:00:00;00:00:12;06:20:22;00:05:01;04:07:50;00:02:09;00:04:51;00:00:00;
Prime;268497701;1482 - QJC7885;272651;29;04/05/2025;03/06/2025;31;6.187,50;213,36;719.532,90;725.720,40;93,00;44,67;66,00;2.505,00;2,47;93:44:52;93:29:03;03:35:39;138:31:29;100,00;0,00;93:44:52;00:00:00;03:13:58;2;0;1;26;40;33;0;1;0;00:00:04;00:00:00;00:00:02;03:35:39;00:11:23;00:15:49;00:00:00;00:00:24;00:00:00;
Prime;268497701;1484 - QJB7606;274920;31;04/05/2025;03/06/2025;31;7.005,50;225,98;759.065,60;766.071,10;98,00;51,37;67,57;2.643,60;2,65;103:40:22;98:09:11;09:01:41;136:23:04;100,00;0,00;103:40:22;00:00:00;03:20:39;10;0;0;58;13;519;0;0;0;00:00:22;00:00:00;00:00:00;09:01:41;00:03:43;05:31:11;00:00:00;00:00:00;00:00:00;
Prime;268497701;1488 - QJE8866;273635;30;04/05/2025;03/06/2025;31;6.115,20;203,84;724.494,00;730.609,20;97,00;45,86;64,07;2.558,00;2,39;95:27:04;84:56:57;18:19:53;133:21:06;100,00;0,00;95:27:04;00:00:00;03:10:54;5;0;0;76;6;1068;0;1;0;00:00:10;00:00:00;00:00:00;18:19:53;00:01:41;10:30:07;00:00:00;00:00:16;00:00:00;
Prime;268497701;1490 - QJB9236;272426;27;04/05/2025;03/06/2025;31;7.834,80;290,18;699.628,40;707.463,20;100,00;39,16;59,54;3.418,00;2,29;131:35:29;122:46:35;13:17:13;200:04:22;100,00;0,00;131:35:29;00:00:00;04:52:26;18;0;0;71;4;864;8;8;0;00:00:36;00:00:00;00:00:00;13:17:13;00:01:38;08:48:54;00:01:47;00:02:34;00:00:00;
Prime;268497701;1492 - QJB8586;276023;23;04/05/2025;02/06/2025;31;5.776,80;251,17;753.690,20;759.467,00;96,00;44,93;61,89;2.363,00;2,44;93:20:47;88:17:43;06:57:43;128:34:42;100,00;0,00;93:20:47;00:00:00;04:03:31;7;0;2;39;18;622;0;3;0;00:00:15;00:00:00;00:00:04;06:57:43;00:04:10;05:03:04;00:00:00;00:01:14;00:00:00;
Prime;268497701;1494 - QJC0326;278356;30;04/05/2025;03/06/2025;31;4.166,50;138,88;713.513,50;717.679,90;96,00;40,33;61,68;1.544,00;2,70;67:32:50;66:45:16;16:23:11;103:17:54;100,00;0,00;67:32:50;00:00:00;02:15:06;3;0;6;85;18;123;0;7;0;00:00:06;00:00:00;00:00:12;16:23:11;00:04:16;00:47:34;00:00:00;00:01:58;00:00:00;
Prime;268497701;1496 - QJC0346;275160;31;04/05/2025;03/06/2025;31;7.237,80;233,48;710.762,60;718.000,40;94,00;52,50;62,16;2.639,00;2,74;116:26:40;115:33:49;07:59:18;137:51:48;100,00;0,00;116:26:40;00:00:00;03:45:23;0;0;0;54;3;115;0;0;0;00:00:00;00:00:00;00:00:00;07:59:18;00:01:07;00:52:51;00:00:00;00:00:00;00:00:00;
Prime;268497701;1498 - QJC0396;271243;27;04/05/2025;03/06/2025;31;4.931,60;182,65;754.472,00;759.403,80;103,00;40,98;46,45;0,00;0,00;106:10:33;106:10:33;00:00:00;120:21:01;100,00;0,00;106:10:33;00:00:00;03:55:57;829;0;70;0;0;0;0;0;0;00:28:06;00:00:00;00:02:24;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;
Prime;268497701;1502 - QJA3177;273625;28;04/05/2025;03/06/2025;31;5.914,60;211,24;721.079,10;726.993,70;93,00;26,70;51,62;2.273,00;2,60;114:35:19;113:46:35;20:21:10;221:29:57;100,00;0,00;114:35:19;00:00:00;04:05:33;1;0;0;71;16;99;0;0;0;00:00:02;00:00:00;00:00:00;20:21:10;00:04:27;00:48:44;00:00:00;00:00:00;00:00:00;
Prime;268497701;1504 - QJA3207;274070;27;04/05/2025;03/06/2025;31;5.511,30;204,12;728.335,90;733.847,20;95,00;52,00;65,97;2.561,50;2,15;83:32:42;82:54:14;08:36:32;105:59:40;100,00;0,00;83:32:42;00:00:00;03:05:39;0;0;2;28;19;78;0;0;0;00:00:00;00:00:00;00:00:04;08:36:32;00:04:18;00:38:28;00:00:00;00:00:00;00:00:00;
Prime;268497701;1506 - QJA3227;272322;29;04/05/2025;03/06/2025;31;7.272,30;250,77;719.667,60;726.939,80;95,00;34,34;64,74;3.000,50;2,42;112:19:54;111:04:22;19:29:03;211:45:49;100,00;0,00;112:19:54;00:00:00;03:52:25;9;0;8;88;50;149;8;8;0;00:00:18;00:00:00;00:00:19;19:29:03;00:08:04;01:15:32;00:02:52;00:03:10;00:00:00;
Prime;268497701;1508 - QJA3157;376507;29;06/05/2025;03/06/2025;31;6.976,80;240,58;751.576,60;758.553,40;96,00;46,75;61,27;3.022,50;2,31;113:52:35;112:25:14;14:38:44;149:13:46;100,00;0,00;113:52:35;00:00:00;03:55:36;15;0;1;70;14;196;0;1;0;00:00:34;00:00:00;00:00:02;14:38:44;00:03:54;01:27:21;00:00:00;00:00:29;00:00:00;
Prime;268497701;1510 - QJA3317;271783;26;04/05/2025;03/06/2025;31;6.213,20;238,97;694.509,20;700.722,30;95,00;34,75;66,01;2.554,00;2,43;94:07:25;90:50:45;18:34:31;178:47:49;100,00;0,00;94:07:25;00:00:00;03:37:12;1;0;5;77;16;373;60;4;0;00:00:02;00:00:00;00:00:10;18:34:31;00:04:19;03:16:40;00:15:05;00:01:15;00:00:00;
Prime;268497701;1512 - QJA3297;275878;30;05/05/2025;03/06/2025;31;7.352,20;245,07;739.178,10;746.530,30;98,00;50,41;66,30;2.742,00;2,68;110:53:09;109:52:31;13:20:53;145:50:16;100,00;0,00;110:53:09;00:00:00;03:41:46;3;0;8;86;5;133;2;2;0;00:00:06;00:00:00;00:00:16;13:20:53;00:01:25;01:00:38;00:00:23;00:00:44;00:00:00;
Prime;268497701;1514 - QJA3257;278650;29;04/05/2025;03/06/2025;31;9.285,50;320,19;723.520,00;732.805,70;91,00;62,76;393,81;4.088,50;2,27;23:34:42;23:27:47;00:58:47;147:57:13;100,00;0,00;23:34:42;00:00:00;00:48:47;0;0;0;9;18;17;0;0;0;00:00:00;00:00:00;00:00:00;00:58:47;00:02:46;00:06:55;00:00:00;00:00:00;00:00:00;
